Parent	Child
DP1000000096	UR1000000095
DP1000000097	UR1000000093
DP1000000098	UR1000000094
DP1000000100	UR1000000099
DP1000000102	UR1000000103
DP1000000104	UR1000000105
DP1000000106	UR1000000122
DP1000000107	UR1000000141
DP1000000108	UR1000000137
DP1000000110	UR1000000121
DP1000000111	UR1000000119
DP1000000112	UR1000000140
DP1000000153	UR1000000147
OR0000000045	UR0000000076
OR1000000071	DP0000000082
OR0000000045	UR0000000077
DP1000000154	UR1000000147
DP1000000131	UR1000000132
OR0000000045	UR0000000046
OR0000000045	UR0000000078
DP1000000138	UR1000000139
DG0000000018	UR1000000147
DP1000000154	UR1000000148
OR1000000081	DP1000000164
DP1000000156	UR1000000150
DP1000000157	UR1000000151
DP1000000158	UR1000000152
DP1000000161	UR1000000162
DP1000000163	UR1000000095
DP1000000164	UR1000000095
OR1000000000	OR1000000071
OR1000000000	OR1000000072
OR1000000000	OR1000000081
OR1000000000	OR1000000082
OR1000000000	OR1000000083
OR1000000000	UR0000000001
OR1000000072	OR1000000073
OR1000000072	OR1000000074
OR1000000072	OR1000000075
OR1000000072	OR1000000076
OR1000000072	OR1000000077
OR1000000072	OR1000000078
OR1000000072	OR1000000079
OR1000000072	OR1000000080
OR1000000072	OR1000000113
OR1000000073	DP1000000135
OR1000000073	DP1000000142
PS1000000046	DP1000000164
OR1000000075	DP1000000111
OR1000000074	DP1000000104
OR1000000074	DP1000000112
OR1000000074	DP1000000138
OR1000000074	DP1000000143
OR1000000074	UR1000000099
OR1000000074	UR1000000105
OR1000000074	UR1000000139
OR1000000074	UR1000000140
OR1000000075	DP1000000100
PS1000000159	DP1000000111
OR1000000075	DP1000000124
OR1000000075	UR1000000119
OR1000000075	UR1000000120
OR1000000075	UR1000000129
OR1000000076	DP1000000097
OR1000000076	DP1000000117
OR1000000076	DP1000000144
OR1000000076	UR1000000093
OR1000000077	DP1000000102
OR1000000077	DP1000000106
OR1000000077	DP1000000107
OR1000000077	DP1000000114
OR1000000077	DP1000000131
OR1000000077	UR1000000103
OR1000000077	UR1000000122
OR1000000077	UR1000000132
OR1000000077	UR1000000141
OR1000000078	DP1000000109
OR1000000078	DP1000000160
OR1000000079	DP1000000108
OR1000000079	DP1000000145
OR1000000079	DP1000000161
OR1000000079	UR1000000137
OR1000000079	UR1000000162
OR1000000080	DP1000000098
OR1000000080	DP1000000110
OR1000000080	DP1000000146
OR1000000080	UR1000000094
OR1000000080	UR1000000121
PS1000000159	DP1000000112
OR1000000081	OR1000000084
OR1000000081	OR1000000085
OR1000000081	OR1000000086
OR1000000081	OR1000000087
OR1000000082	OR1000000088
OR1000000082	OR1000000089
OR1000000082	OR1000000090
OR1000000082	OR1000000091
OR1000000085	DP1000000153
OR1000000085	DP1000000154
OR1000000085	DP1000000155
PS1000000159	DP1000000135
OR1000000087	DP1000000096
OR1000000073	UR0000000070
OR1000000073	UR0000000071
OR1000000073	UR0000000072
OR0000000045	UR0000000079
OR1000000091	DP1000000163
OR1000000113	DP1000000115
OR1000000113	DP1000000116
OR1000000113	DP1000000118
OR1000000089	DP1000000156
OR1000000089	DP1000000157
OR1000000089	DP1000000158
OR1000000089	UR1000000150
OR1000000089	UR1000000152
DG0000000018	OR1000000071
DG0000000018	OR1000000072
DG0000000018	OR1000000082
OR1000000073	DP1000000136
PS1000000046	DP1000000136
DP1000000117	UR1000000101
DP1000000142	UR1000000101
OR1000000073	UR1000000101
DP0000000011	UR1000000101
OR1000000073	UR1000000133
DP0000000011	UR1000000133
DP1000000135	UR1000000134
OR1000000073	UR1000000134
DP0000000011	UR1000000134
PS1000000046	DP0000000011
OR0000000064	UR0000000087
DP1000000160	UR1000000092
DP1000000114	UR1000000125
DP1000000136	UR1000000130
DP1000000124	UR1000000123
DP1000000155	UR1000000149
