ReportingHierarchyID	UserID	ManagerID
1	DP1000000096	UR1000000095
1	DP1000000097	DP1000000117
1	DP1000000098	DP1000000110
1	DP1000000100	DP1000000111
1	DP1000000102	DP1000000106
1	DP1000000104	DP1000000112
1	DP1000000106	DP1000000114
1	DP1000000107	DP1000000106
1	DP1000000108	DP1000000145
1	DP1000000110	DP1000000146
1	DP1000000111	DP1000000124
1	DP1000000112	DP1000000124
1	DP1000000114	DP1000000106
1	DP1000000117	DP1000000144
1	DP1000000124	DP1000000111
1	DP1000000131	DP1000000106
1	DP1000000135	DP1000000136
1	DP1000000136	DP1000000135
1	DP1000000138	DP1000000112
1	DP1000000142	DP1000000135
1	DP1000000143	DP1000000112
1	DP1000000144	DP1000000117
1	DP1000000145	DP1000000108
1	DP1000000146	DP1000000110
1	UR1000000092	UR1000000095
1	UR1000000093	DP1000000117
1	UR1000000094	DP1000000110
1	UR1000000095	UR1000000126
1	UR1000000099	DP1000000112
1	UR1000000101	DP1000000136
1	UR1000000103	DP1000000106
1	UR1000000105	DP1000000112
1	UR1000000119	DP1000000124
1	UR1000000120	DP1000000111
1	UR1000000121	DP1000000146
1	UR1000000122	DP1000000114
1	UR1000000129	DP1000000111
1	UR1000000132	DP1000000106
1	UR1000000133	DP1000000135
1	UR1000000134	DP1000000136
1	UR1000000137	DP1000000145
1	UR1000000139	DP1000000112
1	UR1000000140	DP1000000124
1	UR1000000141	DP1000000106
